iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,113,231,3332,1,0,1,0,0,14,14,14,,,,,,,,,,,,,941.8738129999838,942.8755195999984,942.8755195999984,947.6786991999834,947.6786991999834,None,943.8752497199894,None,None,,947.6786991999834,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,1,0,213,132,1131,1,0,1,0,0,15,15,15,,,,,,,,,,,,,956.6694144999783,957.670232399978,957.670232399978,962.4741025999829,962.4741025999829,None,958.6709852199856,None,None,,962.4741025999829,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,1,1,1,323,231,2312,1,0,1,0,0,16,16,16,,,,,,,,,,,,,971.4648228999868,972.4655663000012,972.4655663000012,977.2694477999758,977.2694477999758,None,973.4657013199903,None,None,,977.2694477999758,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,1,1,121,313,3122,1,0,1,0,0,17,17,17,,,,,,,,,,,,,986.2759260999737,987.2777375000005,987.2777375000005,992.0815680999949,992.0815680999949,None,988.2778477199754,991.0970542999858,None,,992.0815680999949,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,1,0,0,111,323,3312,1,0,1,0,0,18,18,18,,,,,,,,,,,,,1001.0717120999761,1002.0723615999741,1002.0559328999952,1006.8596045000013,1006.8596045000013,None,1003.0564545199886,None,None,,1006.8596045000013,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,0,0,213,321,2211,1,0,1,0,0,19,19,19,,,,,,,,,,,,,1015.8665365999914,1016.8676380999968,1016.8676380999968,1021.6715431999764,1021.6546202999889,None,1017.868191720001,1020.6871250999975,None,,1021.6546202999889,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,0,333,222,1232,1,0,1,0,0,20,20,20,,,,,,,,,,,,,1030.6784932999872,1031.6793258999824,1031.6628476999758,1036.4666844999883,1036.4666844999883,1029.6787922999938,1032.663628519993,None,None,,1036.4666844999883,1029.6787922999938,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,0,0,123,231,2232,1,0,1,0,0,21,21,21,,,,,,,,,,,,,1045.4741600999841,1046.474808400002,1046.474808400002,1051.2784922999854,1051.2784922999854,None,1047.4753572199988,None,None,,1051.2784922999854,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,1,0,123,212,2311,1,0,1,0,0,22,22,22,,,,,,,,,,,,,1060.2699706999992,1061.2697144999984,1061.2527399999963,1066.0574264999887,1066.0574264999887,None,1062.253910919986,None,None,,1066.0574264999887,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,0,1,222,313,1221,1,0,1,0,0,23,23,23,,,,,,,,,,,,,1075.0815183999948,1076.0818321999977,1076.0653631000023,1080.8689894999843,1080.8689894999843,None,1077.0656130199932,None,None,,1080.8689894999843,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,0,1,332,121,2311,1,0,1,0,0,24,24,24,,,,,,,,,,,,,1089.8763124999823,1090.877040499996,1090.877040499996,1095.6810395999928,1095.6810395999928,None,1091.8780913200026,1094.6967984999937,None,,1095.6810395999928,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,1,1,133,212,1112,1,0,1,0,0,25,25,25,,,,,,,,,,,,,1104.6887811999768,1105.688925399998,1105.672072699992,1110.476222600002,1110.476222600002,None,1106.6733073200012,None,None,,1110.476222600002,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,0,1,212,131,1113,1,0,1,0,0,26,26,26,,,,,,,,,,,,,1119.4665901999979,1120.4674868999864,1120.4674868999864,1125.2710660999874,1125.2710660999874,None,1121.4678275199985,1124.2877031999815,None,,1125.2710660999874,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,0,0,321,112,2221,1,0,1,0,0,27,27,27,,,,,,,,,,,,,1134.278398399998,1135.2797369999753,1135.2797369999753,1140.0833246999828,1140.0833246999828,None,1136.279937719999,1139.0993622999813,None,,1140.0833246999828,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,0,0,132,323,2331,1,0,1,0,0,28,28,28,,,,,,,,,,,,,1149.0738880999852,1150.0747118,1150.0747118,1154.878371699975,1154.878371699975,None,1151.0753917199763,None,None,,1154.878371699975,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,1,231,312,3331,1,0,1,0,0,29,29,29,,,,,,,,,,,,,1163.8694512999791,1164.869738199981,1164.869738199981,1169.6737801999843,1169.6571761999803,None,1165.8710693199973,1168.689847599977,None,,1169.6571761999803,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,1,231,323,1132,1,0,1,0,0,30,30,30,,,,,,,,,,,,,1178.6642057999852,1179.6653942999837,1179.6653942999837,1184.4687857999816,1184.4687857999816,None,1180.665915519974,None,None,,1184.4687857999816,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,1,1,132,313,1221,1,0,1,0,0,31,31,31,,,,,,,,,,,,,1193.4762713999953,1194.4770644999808,1194.4770644999808,1199.280923399987,1199.2644775999943,None,1195.4778001199738,1198.2965998,None,,1199.2644775999943,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
,,,,,,,,,,,,,,,,,,,,,,1272.790087499976,None,space,7.131431600020733,1272.790087499976,None,,,,,,,,,,,,,1207.2874765000015,None,space,55.46574569999939,1207.2874765000015,None,,,,,,,
